end_month,water_level_absolute,water_level_relative,reservoir
2021-04-01,19061110,0.196116984314981,ASKJELLDALSVATN
2021-05-01,4747707,0.0488484657635954,ASKJELLDALSVATN
2021-06-01,55386356,0.569862149209357,ASKJELLDALSVATN
2021-07-01,76430145,0.786378628954805,ASKJELLDALSVATN
2021-08-01,49674609,0.511094816309534,ASKJELLDALSVATN
2021-09-01,71242324,0.733001894352994,ASKJELLDALSVATN
2021-10-01,31584686,0.324970233572735,ASKJELLDALSVATN
2021-11-01,15388943,0.158334592946326,ASKJELLDALSVATN
2021-12-01,122474602,1.2601233401107,ASKJELLDALSVATN
2022-01-01,97343288,1.00155091103638,ASKJELLDALSVATN
2022-02-01,22994894,0.236591114889041,ASKJELLDALSVATN
2022-03-01,18086424,0.186088582035469,ASKJELLDALSVATN
2022-04-01,4145854,0.0426560879135686,ASKJELLDALSVATN
2022-05-01,9432248,0.0970470257540622,ASKJELLDALSVATN
2022-06-01,20566790,0.211608706514967,ASKJELLDALSVATN
2022-07-01,95878153,0.986476350435539,ASKJELLDALSVATN
2022-08-01,29385020,0.302338190505978,ASKJELLDALSVATN
2022-09-01,91691874,0.943404335585348,ASKJELLDALSVATN
2022-10-01,102438856,1.05397846795893,ASKJELLDALSVATN
2022-11-01,133445065,1.37299683594065,ASKJELLDALSVATN
2022-12-01,131276883,1.35068872716388,ASKJELLDALSVATN
2023-01-01,111599968,1.14823581490314,ASKJELLDALSVATN
2023-02-01,10451668,0.107535689643541,ASKJELLDALSVATN
2023-03-01,20301869,0.208882972934829,ASKJELLDALSVATN
2023-04-01,20335679,0.209230839100005,ASKJELLDALSVATN
2023-05-01,36427622,0.374798496646106,ASKJELLDALSVATN
2023-06-01,37835810,0.38928713785895,ASKJELLDALSVATN
2023-07-01,36842324,0.379065305117879,ASKJELLDALSVATN
2023-08-01,29877564,0.307405903977147,ASKJELLDALSVATN
2023-09-01,109258551,1.12414531644508,ASKJELLDALSVATN
2023-10-01,35061614,0.360743839309249,ASKJELLDALSVATN
2023-11-01,130745197,1.3452182873562,ASKJELLDALSVATN
2023-12-01,111577553,1.14800519023315,ASKJELLDALSVATN
2020-02-01,52152629,0.524880322500004,AUSTGULVATN
2020-03-01,26697,0.000268686933688091,AUSTGULVATN
2020-04-01,22087496,0.222295447918791,AUSTGULVATN
2020-05-01,103893244,1.04561400761391,AUSTGULVATN
2020-06-01,60713432,0.611038913651737,AUSTGULVATN
2020-07-01,25665866,0.258309279544122,AUSTGULVATN
2020-08-01,46325,0.000466229246847991,AUSTGULVATN
2020-09-01,61865255,0.622631219529604,AUSTGULVATN
2020-10-01,88603085,0.89172907907088,AUSTGULVATN
2020-11-01,99360991,1,AUSTGULVATN
2020-12-01,35753018,0.359829523036863,AUSTGULVATN
2021-01-01,67248,0.000676804843864732,AUSTGULVATN
2021-02-01,123234177,1.24026718896151,AUSTGULVATN
2021-03-01,58349464,0.58724720247607,AUSTGULVATN
2021-04-01,60787233,0.611781669931211,AUSTGULVATN
2021-05-01,63980091,0.643915588563323,AUSTGULVATN
2021-06-01,73915000,0.74390361102578,AUSTGULVATN
2021-07-01,72538138,0.730046442471573,AUSTGULVATN
2021-08-01,36068960,0.363009261854081,AUSTGULVATN
2021-09-01,42763087,0.430381043602917,AUSTGULVATN
2021-10-01,1194283,0.0120196365593817,AUSTGULVATN
2021-11-01,42200104,0.424715007119846,AUSTGULVATN
2021-12-01,146208967,1.47149264040654,AUSTGULVATN
2022-01-01,134636806,1.35502680322502,AUSTGULVATN
2022-02-01,26097,0.000262648346572952,AUSTGULVATN
2022-03-01,21812502,0.219527822543557,AUSTGULVATN
2022-04-01,7200327,0.0724663364116407,AUSTGULVATN
2022-05-01,8648977,0.0870460017855498,AUSTGULVATN
2022-06-01,81978946,0.825061678380402,AUSTGULVATN
2022-07-01,50841975,0.511689491905329,AUSTGULVATN
2022-08-01,35170944,0.353971348776101,AUSTGULVATN
2022-09-01,73977868,0.744536334183704,AUSTGULVATN
2022-10-01,88643309,0.892133905951079,AUSTGULVATN
2022-11-01,112421020,1.13144020473789,AUSTGULVATN
2022-12-01,159953011,1.60981698542036,AUSTGULVATN
2023-01-01,139081497,1.39975955956397,AUSTGULVATN
2023-02-01,104141390,1.04811142634437,AUSTGULVATN
2023-03-01,26699815,0.268715264725973,AUSTGULVATN
2023-04-01,4770360,0.0480103907176208,AUSTGULVATN
2023-05-01,93769281,0.943723286737348,AUSTGULVATN
2023-06-01,96461925,0.970822895677439,AUSTGULVATN
2023-07-01,49964941,0.502862748218765,AUSTGULVATN
2023-08-01,0,0,AUSTGULVATN
2023-09-01,20792263,0.209259819077288,AUSTGULVATN
2023-10-01,7221762,0.072682064936329,AUSTGULVATN
2023-11-01,140938924,1.41845328414649,AUSTGULVATN
2023-12-01,125634962,1.26442943790687,AUSTGULVATN
2020-02-01,104711696,0.724496291059052,Austnutvatnet
2020-03-01,14853790,0.102772815017436,Austnutvatnet
2020-04-01,20706242,0.14326571055416,Austnutvatnet
2020-05-01,42811153,0.296208759377382,Austnutvatnet
2020-06-01,63419739,0.438798791736055,Austnutvatnet
2020-07-01,50281418,0.347895242286877,Austnutvatnet
2020-08-01,43045588,0.297830806335675,Austnutvatnet
2020-09-01,56045276,0.387775159265694,Austnutvatnet
2020-10-01,94590876,0.654470717674429,Austnutvatnet
2020-11-01,144530341,1,Austnutvatnet
2020-12-01,660750,0.00457170442848398,Austnutvatnet
2021-01-01,1185471,0.0082022293159884,Austnutvatnet
2021-02-01,150658630,1.04240140137772,Austnutvatnet
2021-03-01,30524261,0.211196215194704,Austnutvatnet
2021-04-01,29900308,0.206879107826916,Austnutvatnet
2021-05-01,13719503,0.0949247258746868,Austnutvatnet
2021-06-01,58090714,0.401927467949446,Austnutvatnet
2021-07-01,63283503,0.437856179969851,Austnutvatnet
2021-08-01,59665675,0.412824563943982,Austnutvatnet
2021-09-01,61347058,0.424457989758704,Austnutvatnet
2021-10-01,96830562,0.669967020973126,Austnutvatnet
2021-11-01,155897846,1.07865134006707,Austnutvatnet
2021-12-01,140952710,0.975246505507103,Austnutvatnet
2022-01-01,75056472,0.519312910221391,Austnutvatnet
2022-02-01,2365073,0.0163638512414497,Austnutvatnet
2022-03-01,36251993,0.250826177736618,Austnutvatnet
2022-04-01,18109047,0.125295815914528,Austnutvatnet
2022-05-01,37448846,0.259107158683034,Austnutvatnet
2022-06-01,49592164,0.343126319753165,Austnutvatnet
2022-07-01,48761135,0.337376461320326,Austnutvatnet
2022-08-01,90095701,0.623368770713687,Austnutvatnet
2022-09-01,98999310,0.684972506914655,Austnutvatnet
2022-10-01,148938011,1.03049650315293,Austnutvatnet
2022-11-01,174311436,1.20605427755823,Austnutvatnet
2022-12-01,187986718,1.30067303999511,Austnutvatnet
2023-01-01,158209229,1.09464371221542,Austnutvatnet
2023-02-01,128717086,0.890588682690509,Austnutvatnet
2023-03-01,47779337,0.330583437840225,Austnutvatnet
2023-04-01,47779337,0.330583437840225,Austnutvatnet
2023-05-01,45121766,0.312195803924658,Austnutvatnet
2023-06-01,51786987,0.35831221764017,Austnutvatnet
2023-07-01,45232669,0.312963137615513,Austnutvatnet
2023-08-01,28332336,0.196030368460834,Austnutvatnet
2023-09-01,98995490,0.684946076478156,Austnutvatnet
2023-10-01,24114951,0.166850440074725,Austnutvatnet
2023-11-01,153988680,1.06544189223216,Austnutvatnet
2023-12-01,124969243,0.864657497763739,Austnutvatnet
2020-02-01,71818179,1.20237458427079,BANDAK
2020-03-01,71590158,1.1985570737338,BANDAK
2020-04-01,65383180,1.09464031204136,BANDAK
2020-05-01,64383574,1.07790498311183,BANDAK
